,FID,TMK,OSDS_QTY,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,EFFLUENT,N_FLUX,P_FLUX,SOURCE,NO_STRUCT,TTL_BDRMS,NO_BATH,X,Y,Island,OSDS_TYP,B_ROOMS,BATHS,Class_type,commercial,type,OSDS_QTY_calc
0,0,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.150145493,21.4425027002,Oahu, ,0.0,0.0, , , ,0.0
1,1,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.150088955,21.4422976382,Oahu, ,0.0,0.0, , , ,0.0
2,2,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.150329285,21.4426010061,Oahu, ,0.0,0.0, , , ,0.0
3,3,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.150526277,21.4424867507,Oahu, ,0.0,0.0, , , ,0.0
4,4,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.150522337,21.4423094577,Oahu, ,0.0,0.0, , , ,0.0
5,5,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.150995119,21.4421833827,Oahu, ,0.0,0.0, , , ,0.0
6,6,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.151176351,21.4421045859,Oahu, ,0.0,0.0, , , ,0.0
7,7,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.151928861,21.4419863906,Oahu, ,0.0,0.0, , , ,0.0
8,8,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.15221253,21.4419548718,Oahu, ,0.0,0.0, , , ,0.0
9,9,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.152771988,21.4422109616,Oahu, ,0.0,0.0, , , ,0.0
10,10,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.152941401,21.4422976382,Oahu, ,0.0,0.0, , , ,0.0
11,11,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.153102935,21.442226721,Oahu, ,0.0,0.0, , , ,0.0
12,12,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.153268408,21.4420888265,Oahu, ,0.0,0.0, , , ,0.0
13,13,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.153276288,21.4423488561,Oahu, ,0.0,0.0, , , ,0.0
14,14,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.1534654,21.4423449163,Oahu, ,0.0,0.0, , , ,0.0
15,15,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.153552077,21.4421715632,Oahu, ,0.0,0.0, , , ,0.0
16,16,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.15348116,21.4420179093,Oahu, ,0.0,0.0, , , ,0.0
17,17,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.151152712,21.4419863906,Oahu, ,0.0,0.0, , , ,0.0
18,18,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.150943901,21.442025789,Oahu, ,0.0,0.0, , , ,0.0
19,19,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.152157372,21.4418445562,Oahu, ,0.0,0.0, , , ,0.0
20,20,186006001,21.0,0.0,0.0,0.0,0.0,14824.0,3.185974,0.200658, ,0.0,0.0,0.0,-158.151861884,21.4418878945,Oahu, ,0.0,0.0, , , ,0.0
21,0,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.155374009,21.4407823798,Oahu, ,0.0,0.0, , , ,0.0
22,1,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.154808306,21.4399743213,Oahu, ,0.0,0.0, , , ,0.0
23,2,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.155314803,21.4399260835,Oahu, ,0.0,0.0, , , ,0.0
24,3,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.155686234,21.4402878672,Oahu, ,0.0,0.0, , , ,0.0
25,4,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.156240969,21.4397717225,Oahu, ,0.0,0.0, , , ,0.0
26,5,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.15610108,21.4396511279,Oahu, ,0.0,0.0, , , ,0.0
27,6,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.156786057,21.4395642998,Oahu, ,0.0,0.0, , , ,0.0
28,7,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.156708876,21.4398585505,Oahu, ,0.0,0.0, , , ,0.0
29,8,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.156945242,21.4401286824,Oahu, ,0.0,0.0, , , ,0.0
30,9,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.156704053,21.4400949159,Oahu, ,0.0,0.0, , , ,0.0
31,10,186006002,11.0,0.0,0.0,0.0,0.0,7672.0,1.937738,0.295802, ,0.0,0.0,0.0,-158.156650991,21.4403216337,Oahu, ,0.0,0.0, , , ,0.0
32,0,213006009,13.0,0.0,1.0,0.0,-13.0,3200.0,0.732776,0.199848,Cesspool Database,1.0,16.0,1.0,-155.996164769,20.7824844581,Maui, ,0.0,0.0, , ,0,-12.0
33,0,217004004,10.0,0.0,0.0,0.0,10.0,5400.0,1.2365595,0.3372435,Dwelling Database,1.0,27.0,2.0,-156.148404367,20.6517474968,Maui, ,0.0,0.0, , ,0,10.0
34,0,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345101484,20.8859585225,Maui, ,0.0,0.0, , , ,17.0
35,1,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345043009,20.8860653008,Maui, ,0.0,0.0, , , ,17.0
36,2,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345048957,20.8861991455,Maui, ,0.0,0.0, , , ,17.0
37,3,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345072752,20.8863091955,Maui, ,0.0,0.0, , , ,17.0
38,4,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.344805063,20.8861634536,Maui, ,0.0,0.0, , , ,17.0
39,5,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.344861575,20.8865441673,Maui, ,0.0,0.0, , , ,17.0
40,6,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.34483778,20.8866423201,Maui, ,0.0,0.0, , , ,17.0
