,BlockBk_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
1,3,76.26195468362435,26,1.0,Medium,2.0
4,11,89.780744603714,61,1.0,Medium,2.0
7,26,81.94030368810331,11,0.0,Medium,2.0
11,34,118.36880876407895,14,1.0,High,1.0
14,37,78.45588773868782,16,0.0,Medium,2.0
15,46,116.29714850186554,12,1.0,High,1.0
20,65,84.37438064592922,39,1.0,Medium,2.0
21,66,72.0260425732623,12,1.0,Low,3.0
22,67,48.421312997528226,42,1.0,Low,3.0
24,72,69.56528691871398,70,1.0,Low,3.0
25,76,73.73647256797818,41,1.0,Medium,2.0
27,82,50.04357493688514,11,0.0,Low,3.0
28,85,53.164777784248614,14,0.0,Low,3.0
36,101,29.16238699751322,37,0.13513513513513514,Low,3.0
38,103,31.059214146054455,29,1.0,Low,3.0
41,113,34.993704238774825,54,0.0,Low,3.0
42,114,34.097243970381676,13,1.0,Low,3.0
43,115,81.61181080582543,46,0.0,Medium,2.0
44,116,89.95590625769617,17,0.47058823529411764,Medium,2.0
45,117,58.69151826637702,67,0.0,Low,3.0
46,118,86.32509034503757,45,1.0,Medium,2.0
47,121,109.43150640335236,56,1.0,High,1.0
48,122,99.75305075868714,44,0.7045454545454546,High,1.0
49,124,114.79110574710911,24,1.0,High,1.0
50,125,117.99316491618879,15,1.0,High,1.0
56,131,51.95165840125129,12,0.0,Low,3.0
57,132,58.692351548382895,13,0.0,Low,3.0
58,134,37.84947783626445,34,0.0,Low,3.0
65,160,73.16960669339267,12,0.0,Medium,2.0
67,178,43.51433052570436,13,0.0,Low,3.0
68,179,110.30274772409061,25,1.0,High,1.0
69,180,40.662786658276474,69,0.0,Low,3.0
71,187,69.63603234419115,24,1.0,Low,3.0
72,191,93.63798799409697,135,0.6962962962962963,High,1.0
73,193,85.77381730584267,22,1.0,Medium,2.0
74,195,99.9951579070596,120,1.0,High,1.0
77,199,69.06833914696112,30,1.0,Low,3.0
80,215,66.42372933941049,38,0.0,Low,3.0
81,218,62.55639540798922,31,1.0,Low,3.0
84,228,51.680245344655994,25,0.0,Low,3.0
85,229,48.01014997125559,11,0.0,Low,3.0
87,233,46.147275797058604,27,0.0,Low,3.0
88,236,51.92744844253561,18,0.0,Low,3.0
89,238,122.66393029739058,20,1.0,High,1.0
91,241,110.51552895460654,22,1.0,High,1.0
92,251,68.61147630653909,23,1.0,Low,3.0
93,252,68.37948397664606,33,1.0,Low,3.0
94,253,68.67930545653581,62,1.0,Low,3.0
95,254,89.53235616314528,23,1.0,Medium,2.0
97,260,93.40599742451694,57,1.0,High,1.0
98,261,64.98479856631076,58,1.0,Low,3.0
99,262,71.20775439189825,139,1.0,Low,3.0
100,263,85.49090198836154,24,1.0,Medium,2.0
104,275,65.39130800071007,25,1.0,Low,3.0
105,277,132.07510087149745,13,1.0,High,1.0
122,351,55.06231539478822,18,0.0,Low,3.0
124,355,32.412009942569014,39,1.0,Low,3.0
131,388,86.97524254224606,33,0.0,Medium,2.0
135,412,50.91744407547396,28,1.0,Low,3.0
136,413,76.63775565710591,17,0.058823529411764705,Medium,2.0
137,416,79.9545297930415,26,1.0,Medium,2.0
145,468,35.283176125826486,17,0.0,Low,3.0
156,495,37.90453027785466,41,0.0,Low,3.0
167,516,65.85056309729222,11,0.0,Low,3.0
169,522,117.38919035043709,533,1.0,High,1.0
171,526,75.12816991142249,20,0.0,Medium,2.0
172,527,63.34130870323722,17,0.0,Low,3.0
173,529,76.96397676619566,23,0.0,Medium,2.0
174,530,98.27151035337928,18,0.0,High,1.0
176,536,75.40991036704543,20,0.0,Medium,2.0
177,537,70.32639077740902,90,0.0,Low,3.0
180,555,54.74349476144534,15,0.0,Low,3.0
185,576,40.27648553553309,24,0.0,Low,3.0
186,577,41.11204230480516,54,1.0,Low,3.0
189,580,53.32770797518524,15,0.0,Low,3.0
190,581,83.1921544771942,18,0.0,Medium,2.0
191,583,48.970070164660335,11,0.0,Low,3.0
192,585,40.31000232127206,17,1.0,Low,3.0
200,610,65.20275592056589,34,0.0,Low,3.0
206,643,35.41185937950864,36,0.9722222222222222,Low,3.0
209,646,31.677844186374166,19,1.0,Low,3.0
210,647,34.763611991788224,21,1.0,Low,3.0
211,648,41.05936563543769,38,1.0,Low,3.0
212,649,37.06201387144674,21,1.0,Low,3.0
217,656,83.07424370006048,62,1.0,Medium,2.0
218,658,114.34538442974582,102,1.0,High,1.0
227,684,35.281281451751774,16,0.5,Low,3.0
228,686,77.30450392465985,38,0.0,Medium,2.0
238,711,70.0823194041638,21,0.0,Low,3.0
240,715,30.331649517469447,16,1.0,Low,3.0
241,716,41.0979234928086,38,1.0,Low,3.0
244,719,64.64362819742489,24,0.0,Low,3.0
245,725,82.52221276363171,15,0.0,Medium,2.0
247,736,108.32783316749126,13,1.0,High,1.0
252,754,86.01485344892556,57,1.0,Medium,2.0
253,755,94.04261525790344,16,1.0,High,1.0
254,756,94.95791495581683,33,1.0,High,1.0
256,760,123.17924885736583,22,1.0,High,1.0
258,768,69.37174141414246,20,1.0,Low,3.0
259,769,58.99247361229032,19,1.0,Low,3.0
272,834,82.96329455900417,29,0.0,Medium,2.0
278,845,91.22982357517316,13,0.0,Medium,2.0
282,861,37.758201815364124,62,1.0,Low,3.0
284,863,36.12158010483898,55,1.0,Low,3.0
286,865,43.22478635985422,18,0.0,Low,3.0
287,867,42.288509058428694,14,1.0,Low,3.0
288,868,36.732022779807565,34,1.0,Low,3.0
289,869,43.63958874959522,43,1.0,Low,3.0
290,870,37.29163767001029,19,1.0,Low,3.0
293,873,144.67482537488567,12,1.0,High,1.0
294,874,97.47025660207977,48,1.0,High,1.0
295,876,62.84024293165867,22,0.0,Low,3.0
296,877,69.91471975667649,33,1.0,Low,3.0
297,881,59.95772276725787,205,0.8439024390243902,Low,3.0
299,885,64.11552759879626,114,0.0,Low,3.0
303,890,69.8948252221185,12,0.0,Low,3.0
307,901,50.35532677764952,50,0.0,Low,3.0
311,908,51.16705912674696,27,0.0,Low,3.0
314,911,46.79807556981105,14,0.0,Low,3.0
315,912,59.529070523981474,26,0.0,Low,3.0
320,930,44.811630771890606,11,0.0,Low,3.0
321,931,73.08856490643801,22,0.0,Medium,2.0
322,932,67.56864034369343,23,0.0,Low,3.0
323,934,52.48148698196179,12,0.0,Low,3.0
326,937,42.1855499204578,171,0.0,Low,3.0
327,938,47.75052711127393,47,1.0,Low,3.0
328,939,34.1288439959311,28,0.0,Low,3.0
329,942,69.7945226187525,31,1.0,Low,3.0
333,963,67.10040131450116,26,1.0,Low,3.0
334,965,68.95814311850029,50,0.0,Low,3.0
335,967,84.31192524276672,57,0.0,Medium,2.0
336,976,68.97675943027683,20,1.0,Low,3.0
337,978,87.32767611144966,19,1.0,Medium,2.0
338,982,62.890129439570764,14,1.0,Low,3.0
339,984,73.9578143746871,34,1.0,Medium,2.0
342,998,60.94129753083996,104,1.0,Low,3.0
346,1005,73.05666250665783,16,1.0,Medium,2.0
350,1014,68.30302008308033,19,0.0,Low,3.0
358,1049,53.03924121056718,13,0.0,Low,3.0
362,1055,69.27919741964223,40,1.0,Low,3.0
363,1056,66.09744806433223,35,1.0,Low,3.0
364,1057,64.82770820145518,40,1.0,Low,3.0
366,1059,62.66031894903974,40,1.0,Low,3.0
367,1060,63.479906114879526,61,1.0,Low,3.0
368,1061,60.39225672497434,56,1.0,Low,3.0
370,1063,49.522502637335805,26,1.0,Low,3.0
374,1067,36.70171960297078,13,1.0,Low,3.0
375,1068,50.82044056478714,17,1.0,Low,3.0
377,1070,32.37307587208645,13,1.0,Low,3.0
382,1088,55.159517147519104,17,0.0,Low,3.0
386,1104,101.08045259740155,31,0.0,High,1.0
389,1123,87.6184379185084,129,0.0,Medium,2.0
390,1126,78.99811729172761,60,0.0,Medium,2.0
391,1127,107.14813782786226,105,1.0,High,1.0
393,1132,90.29843996935243,11,0.0,Medium,2.0
395,1136,75.07253159352554,56,0.0,Medium,2.0
396,1154,60.24885174998027,19,0.0,Low,3.0
397,1157,64.03961593208996,13,0.0,Low,3.0
398,1158,64.4162177028965,19,0.0,Low,3.0
409,1195,32.1652324478605,24,0.0,Low,3.0
410,1197,41.69422358838797,31,0.0,Low,3.0
426,1225,72.70501541313574,74,0.0,Low,3.0
427,1228,90.03620327693903,17,0.0,Medium,2.0
428,1229,77.86618532969983,33,0.0,Medium,2.0
429,1230,69.77082678709752,30,0.0,Low,3.0
430,1231,71.72988700974791,73,0.0,Low,3.0
431,1232,73.4308795989591,19,0.0,Medium,2.0
