,Track_ID,TrackName,OSDS_count,Fin_Rank
3,308, Halama,84,1.0
8,324, Kahoma,280,1.0
17,305, Spreckelsville,35,1.0
18,301, Kamaole,134,1.0
19,294, Kapalua,223,1.0
20,306, Keawakapu,90,1.0
24,302, Launiupoko,78,1.0
37,299, Honokahua,85,2.0
38,307, Wailea,659,2.0
42,319, North Wailuku,69,2.0
51,322, Waihee-Waikapu,590,2.0
56,293, Honokowai,62,3.0
58,325, Kula,2268,3.0
63,316, Hana,537,3.0
64,315, West Kahului,60,3.0
72,309, Hali'imaile,1146,3.0
76,321, South Wailuku,281,3.0
77,317, Southeast Kahului,31,3.0
80,320, East Central Wailuku,64,3.0
82,323, Pukalani,1492,3.0
87,304, Makawao,891,3.0
88,311, Ha'iku,1413,3.0
89,310, Huelo,466,3.0
