,Uid,dist2_coast_m
0,-158.15014_21.44250,3414.634221252996
1,-158.15008_21.44229,3409.5473601244435
2,-158.15032_21.44260,3402.712368911659
3,-158.15052_21.44248,3378.7581946388177
4,-158.15052_21.44230,3370.110140331593
5,-158.15099_21.44218,3320.1504167852636
6,-158.15117_21.44210,3299.455513509895
7,-158.15192_21.44198,3224.2530017223653
8,-158.15221_21.44195,3196.6302216261547
9,-158.15277_21.44221,3159.1535958228387
10,-158.15294_21.44229,3148.4718139492707
11,-158.15310_21.44222,3130.025354797175
12,-158.15326_21.44208,3107.6017920870772
13,-158.15327_21.44234,3121.027005340214
14,-158.15346_21.44234,3103.787047345859
15,-158.15355_21.44217,3086.4723887166883
16,-158.15348_21.44201,3084.5200926001353
17,-158.15115_21.44198,3295.641537039317
18,-158.15094_21.44202,3316.899140146902
19,-158.15215_21.44184,3195.9766068058675
20,-158.15186_21.44188,3225.335581411867
21,-158.15537_21.44078,2846.5775228776715
22,-158.15480_21.43997,2856.9061336253126
23,-158.15531_21.43992,2807.640682928394
24,-158.15568_21.44028,2792.0408959203814
25,-158.15624_21.43977,2714.493201546398
26,-158.15610_21.43965,2721.2163820764113
27,-158.15678_21.43956,2653.7856758687985
28,-158.15670_21.43985,2676.1503070504596
29,-158.15694_21.44012,2669.0125502510314
30,-158.15670_21.44009,2689.0864111555916
31,-158.15665_21.44032,2706.0574826078814
32,-159.72365_21.97341,427.5534169480575
33,-159.72405_21.97366,443.7332214262194
34,-159.72424_21.97398,473.26397061996767
35,-159.72294_21.97592,715.6899347637944
36,-159.72179_21.97352,494.35637495910004
37,-159.72223_21.97407,537.3403446799197
38,-159.66391_21.96353,1201.609939707596
39,-159.69724_21.96193,229.58091318320263
40,-159.72198_21.97147,271.2413702496123
41,-159.67200_21.96375,932.7050827638036
42,-159.72064_21.96993,155.46691067065495
43,-159.72023_21.97163,347.5811925386649
44,-159.71762_21.97403,678.026300589595
45,-159.72078_21.97293,464.64591637647834
46,-159.71814_21.97122,363.77801494410414
47,-159.72011_21.97304,497.45978295968973
48,-159.71886_21.97352,588.1244221262065
49,-159.71560_21.96853,137.14871050323677
50,-159.70858_21.96273,90.73812079571569
51,-159.70275_21.96432,438.3740213247991
52,-159.70350_21.96543,565.7258625526433
53,-159.70479_21.96613,617.0367654407912
54,-159.70975_21.96523,215.6270240840109
55,-159.70710_21.96424,313.60932130695824
56,-159.70961_21.96591,275.20782748006224
57,-159.71316_21.96750,160.60972917197427
58,-159.71290_21.97114,511.0181195989942
59,-159.70435_21.96105,87.92052076761864
60,-159.70381_21.96284,280.87038188703804
61,-159.70535_21.96318,294.4568091677324
62,-159.70661_21.96261,185.47270645686814
63,-159.70494_21.96378,371.1273254426777
64,-159.71137_21.96656,211.23328918872886
65,-159.66144_22.11946,5241.2371527714395
66,-159.65420_22.12964,4404.930772698265
67,-159.45977_21.90457,2901.9248937774328
68,-159.36000_21.96334,902.9148902491825
69,-159.36176_21.96581,1198.496027424845
70,-159.37219_22.05729,3999.6919759161256
71,-159.36946_22.05793,3750.204825133565
72,-159.38467_22.05333,5141.310541615094
73,-159.38407_22.05409,5096.844735533568
74,-159.38316_22.05448,5013.472436431164
75,-159.49511_22.21023,218.44710421067398
76,-159.49588_22.20505,336.53617873147095
77,-159.58774_21.92027,1847.277123580153
78,-159.58748_21.92049,1876.7095905816516
79,-159.58844_21.92623,2487.0654026895277
80,-159.58862_21.92508,2358.276040337882
81,-159.39097_22.21195,904.6424599194593
82,-159.50072_22.20278,174.55023374509716
83,-159.36808_22.08363,5127.467669650154
84,-159.36346_22.07411,4053.1098022660735
85,-159.34431_22.06002,1543.1899135960143
86,-159.37350_22.05443,4042.9047365881484
87,-159.37729_22.05450,4424.190442149203
88,-159.38927_22.06084,5804.949605989983
89,-159.65988_21.96372,1432.7272252216558
90,-159.66848_21.95420,68.59022633830337
91,-159.58776_21.91989,1805.0407673064385
92,-159.58579_21.91928,1794.430896002419
93,-159.58606_21.92096,1963.8567954502694
94,-159.58791_21.92200,2031.3116533493792
95,-159.58669_21.92353,2223.2676047848
96,-159.58617_21.92327,2207.0468109767166
97,-159.58758_21.92496,2360.6580857546937
98,-159.58958_21.92102,1900.3561086250318
99,-159.59720_21.90418,148.90544707987254
100,-159.48529_21.92467,4316.469959757636
101,-159.46462_21.92893,5352.502176889407
102,-159.52488_21.90488,2056.4183363516327
103,-159.36804_22.05262,3446.797702102004
104,-159.36719_22.05222,3351.336055816423
105,-159.37190_22.05489,3898.7136511620392
106,-159.50775_21.93643,5354.569814020676
107,-159.50844_21.93401,5094.234834184784
108,-159.50880_21.92786,4416.6708332091675
109,-159.50859_21.92861,4500.61922292346
110,-159.45177_21.87975,747.6402503979691
111,-159.45177_21.87992,766.0554421863782
112,-159.45177_21.88185,979.4632845381491
113,-159.38512_22.05583,5244.434323679814
114,-159.51845_21.92063,3641.7802372667743
115,-159.51925_21.92001,3582.404744453564
