,Uid,Elevation_m
0,-158.15014_21.44250,15.2604761124
1,-158.15008_21.44229,16.0638713837
2,-158.15032_21.44260,14.7611112595
3,-158.15052_21.44248,14.5354242325
4,-158.15052_21.44230,14.6755552292
5,-158.15099_21.44218,15.279231071500002
6,-158.15117_21.44210,15.3647623062
7,-158.15192_21.44198,14.2917366028
8,-158.15221_21.44195,14.3069229126
9,-158.15277_21.44221,13.448800087
10,-158.15294_21.44229,13.3524274826
11,-158.15310_21.44222,13.0221128464
12,-158.15326_21.44208,12.7277421951
13,-158.15327_21.44234,12.8176774979
14,-158.15346_21.44234,12.392755508399999
15,-158.15355_21.44217,12.3204545975
16,-158.15348_21.44201,12.739999771099999
17,-158.15115_21.44198,15.331538200399999
18,-158.15094_21.44202,15.3477773666
19,-158.15215_21.44184,14.0973787308
20,-158.15186_21.44188,14.239999771099999
21,-158.15537_21.44078,11.1599998474
22,-158.15480_21.43997,14.7223520279
23,-158.15531_21.43992,14.390000343299999
24,-158.15568_21.44028,13.282500267
25,-158.15624_21.43977,12.220000267
26,-158.15610_21.43965,12.9428005219
27,-158.15678_21.43956,13.114999771099999
28,-158.15670_21.43985,11.8899993896
29,-158.15694_21.44012,10.6599998474
30,-158.15670_21.44009,11.504473686199999
31,-158.15665_21.44032,11.2509479523
32,-159.72365_21.97341,6.185625076289999
33,-159.72405_21.97366,5.92999982834
34,-159.72424_21.97398,6.69655561447
35,-159.72294_21.97592,7.0
36,-159.72179_21.97352,5.05833339691
37,-159.72223_21.97407,5.21500015259
38,-159.66391_21.96353,102.0
39,-159.69724_21.96193,3.2787499427799998
40,-159.72198_21.97147,4.1584949493400005
41,-159.67200_21.96375,8.0
42,-159.72064_21.96993,2.82500004768
43,-159.72023_21.97163,3.10599994659
44,-159.71762_21.97403,3.0
45,-159.72078_21.97293,3.9016666412400003
46,-159.71814_21.97122,3.36553788185
47,-159.72011_21.97304,3.78500008583
48,-159.71886_21.97352,3.0
49,-159.71560_21.96853,3.22452259064
50,-159.70858_21.96273,2.57999992371
51,-159.70275_21.96432,1.99500000477
52,-159.70350_21.96543,1.63499999046
53,-159.70479_21.96613,2.72499990463
54,-159.70975_21.96523,3.08015155792
55,-159.70710_21.96424,2.65937495232
56,-159.70961_21.96591,3.14569544792
57,-159.71316_21.96750,3.54359650612
58,-159.71290_21.97114,2.65717148781
59,-159.70435_21.96105,2.7960715293900003
60,-159.70381_21.96284,2.15000009537
61,-159.70535_21.96318,2.18000006676
62,-159.70661_21.96261,2.17000007629
63,-159.70494_21.96378,2.2300000190700002
64,-159.71137_21.96656,2.3949999809299998
65,-159.66144_22.11946,1075.0
66,-159.65420_22.12964,1142.0
67,-159.45977_21.90457,65.0
68,-159.36000_21.96334,41.7633323669
69,-159.36176_21.96581,43.0
70,-159.37219_22.05729,85.0
71,-159.36946_22.05793,92.0
72,-159.38467_22.05333,102.0
73,-159.38407_22.05409,103.0
74,-159.38316_22.05448,101.0
75,-159.49511_22.21023,1.5566666126300002
76,-159.49588_22.20505,2.73527765274
77,-159.58774_21.92027,58.0
78,-159.58748_21.92049,59.0
79,-159.58844_21.92623,79.0
80,-159.58862_21.92508,74.0
81,-159.39097_22.21195,44.556999206499995
82,-159.50072_22.20278,3.8397886753100003
83,-159.36808_22.08363,112.0
84,-159.36346_22.07411,98.0
85,-159.34431_22.06002,26.0
86,-159.37350_22.05443,93.0
87,-159.37729_22.05450,96.0
88,-159.38927_22.06084,135.0
89,-159.65988_21.96372,6.0
90,-159.66848_21.95420,2.6449999809299998
91,-159.58776_21.91989,57.0
92,-159.58579_21.91928,51.0
93,-159.58606_21.92096,59.0
94,-159.58791_21.92200,64.0
95,-159.58669_21.92353,67.0
96,-159.58617_21.92327,65.0
97,-159.58758_21.92496,74.0
98,-159.58958_21.92102,62.0
99,-159.59720_21.90418,9.654999732970001
100,-159.48529_21.92467,137.0
101,-159.46462_21.92893,141.0
102,-159.52488_21.90488,157.0
103,-159.36804_22.05262,89.0
104,-159.36719_22.05222,88.0
105,-159.37190_22.05489,94.0
106,-159.50775_21.93643,183.0
107,-159.50844_21.93401,194.0
108,-159.50880_21.92786,151.0
109,-159.50859_21.92861,164.0
110,-159.45177_21.87975,16.795000076300003
111,-159.45177_21.87992,15.994999885599999
112,-159.45177_21.88185,20.0
113,-159.38512_22.05583,129.0
114,-159.51845_21.92063,179.0
115,-159.51925_21.92001,193.0
116,-159.52047_21.91920,207.0
117,-159.52030_21.91874,207.0
118,-159.51776_21.91929,187.0
119,-159.51954_21.91858,200.0
120,-159.51164_21.93200,216.0
121,-159.51151_21.92590,188.0
122,-159.51273_21.93431,241.0
123,-159.51511_21.90538,132.0
124,-159.51499_21.91045,158.0
125,-159.50299_21.89127,1.11902618408
126,-159.49600_21.91675,158.0
127,-159.36710_21.94991,36.0950012207
128,-159.36468_21.94992,2.61500000954
129,-159.36119_22.06893,104.0
130,-159.35793_22.07420,87.0
131,-159.37643_22.06850,115.0
132,-159.50424_22.20029,2.04443526268
133,-159.52480_21.92646,218.0
134,-159.36098_22.09525,113.0
135,-159.40721_22.20951,96.0749969482
136,-159.40493_22.20951,96.8332977295
137,-159.59202_21.90737,2.02500009537
138,-159.57640_21.91292,74.0
139,-159.57636_21.91240,73.0
140,-159.48383_21.92892,148.0
141,-159.48387_21.93322,165.0
142,-159.48746_21.92794,145.0
143,-159.46495_21.90098,58.0
144,-159.46569_21.89698,49.0
145,-159.36893_22.05846,92.0
146,-159.37505_22.06224,97.0
147,-159.37857_22.10330,134.0
148,-159.37211_22.10006,118.0
149,-159.35870_22.09503,104.0
150,-159.53453_21.92483,199.0
151,-159.53184_21.92483,195.0
152,-159.53294_21.92468,196.0
153,-159.53312_21.92452,195.0
154,-159.53359_21.92372,195.0
155,-159.50135_21.91961,168.0
156,-159.37047_21.97158,59.0
157,-159.33046_22.09841,74.0
158,-159.32899_22.09849,66.0
159,-159.33000_22.09719,69.0
160,-159.32940_22.09696,68.0
161,-159.49760_22.20521,3.20681810379
162,-159.36957_21.96902,47.0
163,-159.37298_21.96909,65.0
164,-159.37423_21.96848,68.0
165,-159.37394_22.07696,127.0
166,-159.53528_21.92314,196.0
167,-159.53577_21.92187,195.0
168,-159.51631_21.92111,180.0
169,-159.52282_21.92123,210.0
170,-159.52370_21.92231,208.0
171,-159.52535_21.92233,215.0
172,-159.51468_21.90881,147.0
173,-159.52080_21.91824,214.0
174,-159.52042_21.91991,207.0
175,-159.51742_21.94186,315.0
176,-159.52450_21.93290,237.0
177,-159.52142_21.93109,233.0
178,-159.51795_21.93557,267.0
179,-159.51922_21.93679,291.0
180,-159.51953_21.93076,230.0
181,-159.52418_21.93075,232.0
182,-159.52635_21.93485,237.0
183,-159.52963_21.92778,208.0
184,-159.52883_21.92869,210.0
185,-159.52926_21.92623,203.0
186,-159.52319_21.92624,209.0
187,-159.52307_21.92603,208.0
188,-159.50036_21.92168,167.0
189,-159.49476_21.92207,146.0
190,-159.49520_21.92704,208.0
191,-159.49985_21.92335,176.0
192,-159.50734_21.92960,161.0
193,-159.50673_21.92727,164.0
194,-159.50772_21.92676,154.0
