,Uid,rainfall_in
0,-159.66144_22.11946,58.143886566199996
1,-159.65420_22.12964,62.1548614502
2,-159.37219_22.05729,64.30811309810001
3,-159.36946_22.05793,63.6462173462
4,-159.38467_22.05333,70.44384765630001
5,-159.38407_22.05409,70.44384765630001
6,-159.38316_22.05448,69.2756347656
7,-159.49511_22.21023,78.0261306763
8,-159.49588_22.20505,80.8119659424
9,-159.39097_22.21195,61.013984680200004
10,-159.50072_22.20278,83.3514938354
11,-159.36808_22.08363,66.1901779175
12,-159.36346_22.07411,61.9259910583
13,-159.34431_22.06002,51.4297637939
14,-159.37350_22.05443,64.9414138794
15,-159.37729_22.05450,67.0687713623
16,-159.38927_22.06084,74.51384735109998
17,-159.36804_22.05262,61.5946311951
18,-159.36719_22.05222,61.5946311951
19,-159.37190_22.05489,63.913166046099995
20,-159.38512_22.05583,70.9156341553
21,-159.36119_22.06893,60.4349212646
22,-159.35793_22.07420,59.461578369099996
23,-159.37643_22.06850,68.5431365967
24,-159.50424_22.20029,86.95400238040001
25,-159.36098_22.09525,65.3095092773
26,-159.40721_22.20951,65.2483825684
27,-159.40493_22.20951,64.9725646973
28,-159.36893_22.05846,63.6462173462
29,-159.37505_22.06224,67.6948471069
30,-159.37857_22.10330,90.4304962158
31,-159.37211_22.10006,78.30463409419998
32,-159.35870_22.09503,63.561862945600005
33,-159.33046_22.09841,48.801109313999994
34,-159.32899_22.09849,47.746810913100006
35,-159.33000_22.09719,48.3842468262
36,-159.32940_22.09696,47.350463867200006
37,-159.49760_22.20521,81.1237564087
38,-159.37394_22.07696,69.0417022705
39,-159.33523_22.05256,46.7894821167
40,-159.33678_22.05396,47.74139785770001
41,-159.33479_22.05301,46.8750953674
42,-159.33038_22.09477,48.009475708000004
43,-159.33033_22.09495,48.009475708000004
44,-159.32516_22.09537,45.2046546936
45,-159.33765_22.04776,47.341438293500005
46,-159.33595_22.05378,46.8750953674
47,-159.33662_22.05546,46.959804534899995
48,-159.33779_22.05717,47.8625450134
49,-159.33871_22.05588,47.8625450134
50,-159.33703_22.05725,47.8625450134
51,-159.33925_22.05708,48.8851966858
52,-159.34019_22.05863,49.0346603394
53,-159.34410_22.05816,51.258251190200006
54,-159.34401_22.05846,51.258251190200006
55,-159.34498_22.05860,51.258251190200006
56,-159.34451_22.05947,51.258251190200006
57,-159.34200_22.05649,49.9408340454
58,-159.34218_22.05805,50.1145591736
59,-159.34179_22.05778,50.1145591736
60,-159.34211_22.05439,49.7642364502
61,-159.34261_22.05332,49.7642364502
62,-159.34472_22.05401,50.8630485535
63,-159.34554_22.05395,50.8630485535
64,-159.34631_22.05431,51.987842559799994
65,-159.34559_22.05489,50.8630485535
66,-159.37237_22.05323,63.913166046099995
67,-159.37658_22.05647,66.412651062
68,-159.37595_22.05653,66.412651062
69,-159.36311_22.04779,59.0086784363
70,-159.36611_22.04912,61.295291900600006
71,-159.38219_22.05554,69.7206497192
72,-159.38786_22.05697,72.121887207
73,-159.37812_22.06226,68.8318252563
74,-159.36393_22.08856,66.08015441890001
75,-159.36191_22.06867,61.4578018188
76,-159.37382_22.06840,67.3367919922
77,-159.36248_22.07141,61.772724151599995
78,-159.36313_22.07064,61.6180648804
79,-159.36211_22.06667,61.4578018188
80,-159.37278_22.09805,80.86219787599998
81,-159.37169_22.09644,76.69649505619999
82,-159.31743_22.06838,42.0830383301
83,-159.31870_22.06885,41.9953842163
84,-159.31914_22.06883,42.436279296900004
85,-159.32037_22.07372,42.3494949341
86,-159.32021_22.08645,42.6040000916
87,-159.32028_22.08603,42.6040000916
88,-159.32403_22.08845,44.318767547600004
89,-159.36064_22.09479,65.3095092773
90,-159.33077_22.09798,48.3842468262
91,-159.33934_22.09951,53.496799468999995
92,-159.32996_22.09665,47.350463867200006
93,-159.32820_22.09546,46.9914627075
94,-159.33044_22.09558,48.009475708000004
95,-159.31760_22.08845,42.0893058777
96,-159.31499_22.08728,41.5080871582
97,-159.31550_22.09116,41.7367248535
98,-159.31540_22.08846,41.5080871582
99,-159.31931_22.08548,42.6040000916
100,-159.31787_22.08639,41.9441757202
101,-159.32072_22.08944,43.0220184326
102,-159.33379_22.10044,50.3708152771
103,-159.33618_22.10108,51.577201843299996
104,-159.33579_22.10099,51.577201843299996
105,-159.32215_22.09409,44.3833732605
106,-159.32212_22.09229,44.0671806335
107,-159.32226_22.09163,44.0671806335
108,-159.32009_22.09172,43.2931861877
109,-159.31976_22.09249,43.2931861877
110,-159.31950_22.09297,43.2931861877
111,-159.31944_22.09319,43.2931861877
112,-159.33510_22.09714,50.5866088867
113,-159.33200_22.09586,48.3842468262
114,-159.33314_22.09444,49.0477561951
115,-159.33351_22.09532,49.0477561951
116,-159.33458_22.09644,50.5866088867
117,-159.33320_22.09940,49.874729156499995
118,-159.33305_22.09878,49.874729156499995
119,-159.32700_22.09494,46.078769683800004
120,-159.32618_22.09388,46.078769683800004
121,-159.32634_22.09424,46.078769683800004
122,-159.32558_22.09240,45.7554092407
123,-159.30698_22.10520,41.679145813000005
124,-159.30537_22.10228,41.2506065369
125,-159.30841_22.14604,44.9635467529
126,-159.30468_22.14584,43.2965583801
127,-159.30687_22.15147,43.7550163269
128,-159.30904_22.13688,45.3377151489
129,-159.30390_22.13658,43.63098526
130,-159.30256_22.13767,42.9761314392
131,-159.30237_22.13805,42.9761314392
132,-159.30476_22.13791,43.63098526
133,-159.30315_22.14084,43.4584312439
134,-159.30141_22.14017,42.9310798645
135,-159.30121_22.14034,42.9310798645
136,-159.31679_22.15800,48.437812805200004
137,-159.34168_22.18827,50.631156921400006
138,-159.33321_22.19253,44.927326202399996
139,-159.37847_22.19782,68.1754989624
140,-159.35821_22.19956,55.336963653599994
141,-159.39419_22.21981,55.7720451355
142,-159.40835_22.20940,65.2483825684
143,-159.41017_22.20639,67.0703735352
144,-159.40911_22.21017,65.4421081543
145,-159.40489_22.21235,63.3812522888
146,-159.40516_22.21096,63.3812522888
147,-159.40911_22.20396,68.6892471313
148,-159.40404_22.21011,64.6471328735
149,-159.40400_22.20969,64.6471328735
150,-159.40537_22.20894,64.9725646973
151,-159.40469_22.20777,66.55127716060001
152,-159.40855_22.20770,66.8430480957
153,-159.40888_22.20724,67.0703735352
154,-159.40599_22.20675,66.55127716060001
155,-159.50530_22.20095,86.95400238040001
156,-159.57488_22.22320,96.5802841187
157,-159.40798_22.21438,61.9933166504
158,-159.40833_22.21361,61.9933166504
159,-159.43192_22.21479,64.1568908691
160,-159.45543_22.22546,65.2244720459
161,-159.49614_22.20425,80.8119659424
162,-159.49543_22.20661,79.3613739014
163,-159.55012_22.20986,99.1289596558
164,-159.54394_22.21218,94.4301681519
165,-159.54703_22.22181,84.2783355713
166,-159.54674_22.22329,84.2783355713
167,-159.55117_22.22221,86.17420959469999
168,-159.55194_22.22324,86.17420959469999
169,-159.54672_22.22050,86.54349517819999
170,-159.54536_22.21996,85.7243881226
171,-159.50055_22.20288,83.3514938354
172,-159.35650_22.08605,59.424884796099995
173,-159.34440_22.06119,51.4297637939
174,-159.34710_22.06137,52.6125488281
175,-159.34453_22.06097,51.4297637939
176,-159.34135_22.05896,50.1145591736
177,-159.34183_22.05893,50.1145591736
178,-159.37355_22.05420,64.9414138794
179,-159.37423_22.05259,64.6197128296
180,-159.37605_22.05446,65.9999084473
181,-159.37727_22.05570,67.4851913452
182,-159.38843_22.06114,73.1829910278
183,-159.38679_22.06107,73.1829910278
184,-159.39185_22.06289,76.5364074707
185,-159.39080_22.06277,76.5364074707
186,-159.36748_22.05206,61.5946311951
187,-159.37043_22.05523,62.9187698364
188,-159.36979_22.05433,62.9187698364
189,-159.32489_22.05806,43.5751609802
190,-159.32532_22.05877,43.5751609802
191,-159.50534_22.20035,86.95400238040001
192,-159.36023_22.10103,68.6055831909
