,Uid,Swim_beach
0,-155.95248_19.56637,True
1,-155.95310_19.56697,True
2,-155.95309_19.56744,True
3,-155.95250_19.56727,True
4,-155.95254_19.56698,True
5,-155.95310_19.56663,True
6,-155.94822_19.60943,True
7,-155.94653_19.60579,True
8,-155.94765_19.60359,True
9,-155.94720_19.60943,True
10,-155.94820_19.60996,True
11,-155.94814_19.60986,True
12,-155.94729_19.60581,True
13,-155.94833_19.60527,True
14,-155.94416_19.59393,True
15,-155.94768_19.59541,True
16,-155.94834_19.60055,True
17,-155.94784_19.59902,True
18,-155.94868_19.59739,True
19,-155.94906_19.59834,True
20,-155.94942_19.59783,True
21,-155.94978_19.59799,True
22,-155.94785_19.59430,True
23,-155.94838_19.59442,True
24,-155.94745_19.59328,True
25,-155.94898_19.59865,True
26,-155.94769_19.59398,True
27,-155.94957_19.60084,True
28,-155.94821_19.59375,True
29,-155.95383_19.59210,True
30,-155.94783_19.59314,True
31,-155.94863_19.59595,True
32,-155.94859_19.59513,True
33,-155.94966_19.59953,True
34,-155.94918_19.59584,True
35,-155.94949_19.59339,True
36,-155.94888_19.59355,True
37,-155.94974_19.59847,True
38,-155.94937_19.59642,True
39,-155.94945_19.59402,True
40,-155.94910_19.59769,True
41,-155.95647_19.59057,True
42,-155.95656_19.59287,True
43,-155.95654_19.59268,True
44,-155.95657_19.59076,True
45,-155.95666_19.59093,True
46,-155.95517_19.59270,True
47,-155.95511_19.59251,True
48,-155.95602_19.59270,True
49,-155.95608_19.59240,True
50,-155.95622_19.59214,True
51,-155.95606_19.59074,True
52,-155.95507_19.59113,True
53,-155.95469_19.59129,True
54,-155.95477_19.59209,True
55,-155.95478_19.59183,True
56,-155.95498_19.59176,True
57,-155.95515_19.59204,True
58,-155.95620_19.59192,True
59,-155.95633_19.59175,True
60,-155.95634_19.59156,True
61,-155.95624_19.59139,True
62,-155.95616_19.59121,True
63,-155.93221_19.57693,True
64,-155.94239_19.58046,True
65,-155.94262_19.58122,True
66,-155.94366_19.58286,True
67,-155.94330_19.58354,True
68,-155.94376_19.58402,True
69,-155.94324_19.58541,True
70,-155.94014_19.58159,True
71,-155.94503_19.58374,True
72,-155.94452_19.58459,True
73,-155.94482_19.58593,True
74,-155.94464_19.58708,True
75,-155.94446_19.58808,True
76,-155.94449_19.58905,True
77,-155.94498_19.59009,True
78,-155.94495_19.59118,True
79,-155.94580_19.59136,True
80,-155.94620_19.59173,True
81,-155.94586_19.59204,True
82,-155.94693_19.59280,True
83,-155.94380_19.59292,True
84,-155.94322_19.59163,True
85,-155.94225_19.59106,True
86,-155.93821_19.58519,True
87,-155.93630_19.58487,True
88,-155.93777_19.58184,True
89,-155.94257_19.58674,True
90,-155.94492_19.58427,True
91,-155.94532_19.58504,True
92,-155.94542_19.59256,True
93,-155.94645_19.59234,True
94,-155.94860_19.57983,True
95,-155.94723_19.57997,True
96,-155.94445_19.58031,True
97,-155.94844_19.58103,True
98,-155.94829_19.58206,True
99,-155.94624_19.58259,True
100,-155.94579_19.58176,True
101,-155.94567_19.58115,True
102,-155.95473_19.58963,True
103,-155.95492_19.58998,True
104,-155.95513_19.59031,True
105,-155.94650_19.58931,True
106,-155.94634_19.58891,True
107,-155.94632_19.58376,True
108,-155.94816_19.58314,True
109,-155.95478_19.58913,True
110,-155.95104_19.58298,True
111,-155.95246_19.58366,True
112,-155.95232_19.58334,True
113,-155.95233_19.58280,True
114,-155.95210_19.58224,True
115,-155.95192_19.58196,True
116,-155.95174_19.58170,True
117,-155.95442_19.58922,True
118,-155.95441_19.58869,True
119,-155.95417_19.58815,True
120,-155.96636_19.58140,True
121,-155.96536_19.58049,True
122,-155.94388_19.57475,True
123,-155.94448_19.57507,True
