,Uid,UserDays
0,-158.15014_21.44250,10
1,-158.15008_21.44229,10
2,-158.15032_21.44260,10
3,-158.15052_21.44248,10
4,-158.15052_21.44230,10
5,-158.15099_21.44218,10
6,-158.15117_21.44210,10
7,-158.15192_21.44198,10
8,-158.15221_21.44195,10
9,-158.15277_21.44221,10
10,-158.15294_21.44229,10
11,-158.15310_21.44222,10
12,-158.15326_21.44208,10
13,-158.15327_21.44234,10
14,-158.15346_21.44234,10
15,-158.15355_21.44217,10
16,-158.15348_21.44201,10
17,-158.15115_21.44198,10
18,-158.15094_21.44202,10
19,-158.15215_21.44184,10
20,-158.15186_21.44188,10
21,-158.15537_21.44078,10
22,-158.15480_21.43997,10
23,-158.15531_21.43992,10
24,-158.15568_21.44028,10
25,-158.15624_21.43977,10
26,-158.15610_21.43965,10
27,-158.15678_21.43956,10
28,-158.15670_21.43985,10
29,-158.15694_21.44012,10
30,-158.15670_21.44009,10
31,-158.15665_21.44032,10
32,-159.72365_21.97341,17
33,-159.72405_21.97366,17
34,-159.72424_21.97398,22
35,-159.72294_21.97592,17
36,-159.72179_21.97352,11
37,-159.72223_21.97407,17
38,-159.66391_21.96353,86
39,-159.69724_21.96193,8
40,-159.72198_21.97147,11
41,-159.67200_21.96375,72
42,-159.72064_21.96993,11
43,-159.72023_21.97163,11
44,-159.71762_21.97403,11
45,-159.72078_21.97293,11
46,-159.71814_21.97122,9
47,-159.72011_21.97304,11
48,-159.71886_21.97352,11
49,-159.71560_21.96853,12
50,-159.70858_21.96273,6
51,-159.70275_21.96432,9
52,-159.70350_21.96543,9
53,-159.70479_21.96613,8
54,-159.70975_21.96523,6
55,-159.70710_21.96424,8
56,-159.70961_21.96591,6
57,-159.71316_21.96750,16
58,-159.71290_21.97114,16
59,-159.70435_21.96105,9
60,-159.70381_21.96284,9
61,-159.70535_21.96318,8
62,-159.70661_21.96261,7
63,-159.70494_21.96378,9
64,-159.71137_21.96656,15
65,-159.66144_22.11946,9
66,-159.65420_22.12964,28
67,-159.45977_21.90457,94
68,-159.36000_21.96334,277
69,-159.36176_21.96581,277
70,-159.37219_22.05729,68
71,-159.36946_22.05793,68
72,-159.38467_22.05333,68
73,-159.38407_22.05409,68
74,-159.38316_22.05448,68
75,-159.49511_22.21023,153
76,-159.49588_22.20505,161
77,-159.58774_21.92027,8
78,-159.58748_21.92049,8
79,-159.58844_21.92623,9
80,-159.58862_21.92508,5
81,-159.39097_22.21195,8
82,-159.50072_22.20278,183
83,-159.36808_22.08363,90
84,-159.36346_22.07411,97
85,-159.34431_22.06002,187
86,-159.37350_22.05443,68
87,-159.37729_22.05450,123
88,-159.38927_22.06084,68
89,-159.65988_21.96372,125
90,-159.66848_21.95420,125
91,-159.58776_21.91989,8
92,-159.58579_21.91928,7
93,-159.58606_21.92096,8
94,-159.58791_21.92200,8
95,-159.58669_21.92353,7
96,-159.58617_21.92327,8
97,-159.58758_21.92496,5
98,-159.58958_21.92102,7
99,-159.59720_21.90418,7
100,-159.48529_21.92467,14
101,-159.46462_21.92893,227
102,-159.52488_21.90488,0
103,-159.36804_22.05262,68
104,-159.36719_22.05222,123
105,-159.37190_22.05489,68
106,-159.50775_21.93643,2
107,-159.50844_21.93401,2
108,-159.50880_21.92786,1
109,-159.50859_21.92861,1
110,-159.45177_21.87975,624
111,-159.45177_21.87992,624
112,-159.45177_21.88185,624
113,-159.38512_22.05583,68
114,-159.51845_21.92063,3
115,-159.51925_21.92001,0
116,-159.52047_21.91920,0
117,-159.52030_21.91874,0
118,-159.51776_21.91929,3
119,-159.51954_21.91858,0
120,-159.51164_21.93200,0
121,-159.51151_21.92590,0
122,-159.51273_21.93431,0
123,-159.51511_21.90538,0
124,-159.51499_21.91045,0
125,-159.50299_21.89127,22
126,-159.49600_21.91675,178
127,-159.36710_21.94991,26
128,-159.36468_21.94992,26
129,-159.36119_22.06893,97
130,-159.35793_22.07420,37
131,-159.37643_22.06850,187
132,-159.50424_22.20029,81
133,-159.52480_21.92646,0
134,-159.36098_22.09525,90
135,-159.40721_22.20951,19
136,-159.40493_22.20951,2
137,-159.59202_21.90737,14
138,-159.57640_21.91292,54
139,-159.57636_21.91240,54
140,-159.48383_21.92892,14
141,-159.48387_21.93322,14
142,-159.48746_21.92794,14
143,-159.46495_21.90098,81
144,-159.46569_21.89698,88
145,-159.36893_22.05846,68
146,-159.37505_22.06224,68
147,-159.37857_22.10330,213
148,-159.37211_22.10006,213
149,-159.35870_22.09503,90
150,-159.53453_21.92483,1
151,-159.53184_21.92483,1
152,-159.53294_21.92468,1
153,-159.53312_21.92452,0
154,-159.53359_21.92372,0
155,-159.50135_21.91961,39
156,-159.37047_21.97158,277
157,-159.33046_22.09841,23
158,-159.32899_22.09849,42
159,-159.33000_22.09719,59
