,Uid,dist2_Wetlands_m
0,-158.15014_21.44250,348.13225481225675
1,-158.15008_21.44229,324.6998703675983
2,-158.15032_21.44260,362.8353198344524
3,-158.15052_21.44248,355.71536521802636
4,-158.15052_21.44230,336.8054713413294
5,-158.15099_21.44218,339.48797594825766
6,-158.15117_21.44210,338.6741433932473
7,-158.15192_21.44198,363.7815329611921
8,-158.15221_21.44195,377.79262302973603
9,-158.15277_21.44221,436.1518913674106
10,-158.15294_21.44229,454.6939443341825
11,-158.15310_21.44222,457.6880369439929
12,-158.15326_21.44208,440.91932141093713
13,-158.15327_21.44234,469.51607297773626
14,-158.15346_21.44234,467.29395566683183
15,-158.15355_21.44217,447.36042148373457
16,-158.15348_21.44201,431.0887014006133
17,-158.15115_21.44198,325.75977824454776
18,-158.15094_21.44202,321.29554002495246
19,-158.15215_21.44184,364.60758518876844
20,-158.15186_21.44188,350.85376436544396
21,-158.15537_21.44078,296.34519636859494
22,-158.15480_21.43997,203.24405825109744
23,-158.15531_21.43992,201.65712931004452
24,-158.15568_21.44028,248.59147902786958
25,-158.15624_21.43977,205.97169165314213
26,-158.15610_21.43965,189.3497359581806
27,-158.15678_21.43956,196.4522567923407
28,-158.15670_21.43985,221.04247555001416
29,-158.15694_21.44012,195.21914641667198
30,-158.15670_21.44009,220.15769079077026
31,-158.15665_21.44032,227.20773907006
32,-159.72365_21.97341,363.1251463473603
33,-159.72405_21.97366,336.6825795044632
34,-159.72424_21.97398,301.5622769636676
35,-159.72294_21.97592,77.38199683295652
36,-159.72179_21.97352,268.8627721173098
37,-159.72223_21.97407,246.86802912709288
38,-159.66391_21.96353,163.72072555641736
39,-159.69724_21.96193,64.32330302474283
40,-159.72198_21.97147,466.8252006018839
41,-159.67200_21.96375,132.73899056668353
42,-159.72064_21.96993,574.9055253991256
43,-159.72023_21.97163,382.9887729914157
44,-159.71762_21.97403,41.848284269970655
45,-159.72078_21.97293,268.2538291462717
46,-159.71814_21.97122,350.72649827625725
47,-159.72011_21.97304,232.59804158132283
48,-159.71886_21.97352,138.70254345182698
49,-159.71560_21.96853,494.9500674786114
50,-159.70858_21.96273,611.5683403242092
51,-159.70275_21.96432,101.77150885063412
52,-159.70350_21.96543,61.08225134298822
53,-159.70479_21.96613,117.0558431190138
54,-159.70975_21.96523,432.2370018311271
55,-159.70710_21.96424,399.0294417082754
56,-159.70961_21.96591,361.4851804177034
57,-159.71316_21.96750,426.34523320930396
58,-159.71290_21.97114,132.6885574836486
59,-159.70435_21.96105,364.11533418144256
60,-159.70381_21.96284,220.84153100511398
61,-159.70535_21.96318,371.00565971081033
62,-159.70661_21.96261,506.26358679156823
63,-159.70494_21.96378,294.72960036807274
64,-159.71137_21.96656,403.99464261063827
65,-159.66144_22.11946,3583.5435228870424
66,-159.65420_22.12964,3880.7632465412275
67,-159.45977_21.90457,799.8602665129167
68,-159.36000_21.96334,114.14419282450736
