,Distance to Coastline,Distance to Municipal Drinking Water Wells,Distance to Private/Domestic Drinking Water Wells,Drinking Water Well Capture Zones,Soil/Geological Data,Average Annual Rainfall,Distance to Streams or Wetlands,Cesspool Density,Water Table Elevation,Risk of Impact from Sea Level-Rise,Coral Cover and Recovery Potential,Resource Fish Biomass and Recovery Potential,Coastline Visitation,Lifeguarded Swimming Beaches,Ocean Circulation and Residence Time Proxy
0,5,5,3,3,4,4,5,4,4,3,3,3,4,4,3
1,1,5,4,4,5,2,3,4,4,3,3,3,3,3,2
2,4,5,5,5,2,1,3,4,4,3,1,1,1,1,1
3,2,5,4,5,2,3,2,4,2,3,3,3,3,2,4
4,5,5,3,5,3,3,5,5,4,5,3,3,1,2,3
5,3,3,3,2,2,2,3,4,3,4,2,1,1,1,2
6,3,5,1,4,1,2,5,3,5,5,5,5,5,5,4
7,5,5,5,3,2,2,3,4,3,4,4,4,4,4,2
8,3,5,5,2,3,2,3,4,4,1,2,2,2,2,1
9,4,5,4,5,2,2,5,3,4,3,5,4,2,4,5
10,3,3,4,3,1,1,2,5,4,2,2,2,1,1,3
11,5,3,1,2,2,1,3,2,2,4,5,2,1,1,2
12,5,4,1,1,1,1,4,4,5,5,1,1,1,1,1
